cafe_mac,minutes_to_campus,fave_temp,hangout
Cheesecake,15,18,the mountains
Cheese pizza,10,24,a beach
udon noodles,4,18,the mountains
egg rolls,7,10,a beach
Tacos ,5,18,the mountains
pasta,35,7,the mountains
the loch!!!,5,75,a beach
Fries,15,24,a beach
mini pies,7,13,the mountains
coconut curry,20,16,a city
salad bar,11,18,a forest
Fries,10,24,a beach
Cinnamon Roll,12,21,a beach
veggie sausage,20,24,a forest
Chicken and rice,7,10,a beach
Breaded Fish,9,24,a city
Breakfast,10,18.33,a city
fries,7,22,the mountains
Mash Potatoes,15,23,a beach
tacos,15,21.1,a prairie
Pasta,7,18,the mountains
Toast,7,15,a city
Chicken thighs in a bun with fries,5,20,a prairie
roasted potatoes!,10,21,a city
Pasta Bake,18,21,the mountains
Fried fish,7,21,a city
Vegan chicken nuggets,10,17,a forest
Rotisserie Chicken,10,21,a beach
fried rice,15,27,a forest
Yogurt ,28,22,the mountains
Pizza,5,20,the mountains
Pasta ,10,18.33,a beach
vanilla ice cream,15,20,a beach
Pizza,12,10,a city
Eggs,4,70,the mountains
Chocolate Chip Cookies,2,20,the mountains
Chicken tenders,10,16,a city
Oatmeal Raisin Cookie,7,25,a beach
the loch,5,20,the mountains
Mashed Potatoes,5,24,the mountains
Pasta of the day ,10,22.77,the mountains
Hot water,7,25,a beach
Pizza,5,18,a city
Soft Serve ,7,21,a city
Cafe Mac Breakfast! ,10,24,a city
Eggs,7,18,the mountains
The chocolate chip cookies,10,25,a beach
Cucumber salad,4,-5,a forest
lemon poppy seed muffin ,10,16,the mountains
Ice Cream,14,26,a beach
pasta,5,15.5,a beach
Mac and cheese!,7,21.5,a beach
Cucumbers from the salad bar,3,18,a forest
Burger,5,21,the mountains
Mac and Cheese,7,22,a city
The pizza,8,22,a prairie
Green Mellon ,8,15,a beach
Waffles,13,23,a beach
Cheese egg,7,25,a city
Pizza,3,17,a city
Sandwich,7,12,a forest
Muffins,4,17,the mountains
Chorizo,7,21,a beach
Pepperoni Pizza,20,24,a forest
Water,7,23.99,a beach
My favorite food at Cafe Mac is getting to build my own sandwich.,5,22,a beach
Vegiterrian Chili,7,13.33,a forest
Pizza,7,23,a city
Pasta,4,21,a beach
teriyaki chicken and rice,7,23,a beach
pizza,10,25,a beach
sweet potato fries,12,21,a forest
Yogurt and granola,7,15.6,a forest
chocolate muffins,17,15,a forest
pizza,7,18,a city
Pasta with meatballs and marinara,5,15,the desert
Chicken thighs,4,21,a beach
The deserts ,3,20,a beach
Bacon and scrabbled eggs,5,20,the mountains
Rice noodles,9,37,the desert
Club sandwich,10,17,a beach
Pizza,5,24,a forest
pepperoni pizza,25,23,a beach
Cookies,7,20,a city
Pasta,10,20,a beach
ice cream,7,25,a beach
Cereal,4,67,a beach
Pepperoni Pizza,10,24,a city
Tacos,15,22,a forest
Chickpeas,5,21,the mountains
Baked goods,7,24,a forest
Chocolate chip cookies and ravioli,7,25,a beach
Burger,10,21,a forest
Pepperoni Pizza,10,24,a beach
Hamburger,6,23,a beach
Ginger Cookies,10,26,a beach
bbq chicken,5,14,a city
Breakfast food,15,25,a city
