"date","location","mintemp","maxtemp","rainfall","evaporation","sunshine","windgustdir","windgustspeed","winddir9am","winddir3pm","windspeed9am","windspeed3pm","humidity9am","humidity3pm","pressure9am","pressure3pm","cloud9am","cloud3pm","temp9am","temp3pm","raintoday","risk_mm","raintomorrow"
2020-01-01,"Wollongong",17.1,23.1,0,NA,NA,"SSW",39,"SSW","SSE",20,15,69,64,1014.9,1014,8,1,19.1,22.9,"No",0,"No"
2020-01-02,"Wollongong",17.7,24.2,0,NA,NA,"SSW",37,"S","ENE",13,15,72,54,1020.1,1017.7,7,1,19.8,23.6,"No",0,"No"
2020-01-03,"Wollongong",19.7,26.8,0,NA,NA,"NE",41,"NNW","NNE",7,17,72,71,1017.5,1013,6,NA,23.4,25.7,"No",0,"No"
2020-01-04,"Wollongong",20.4,35.5,0,NA,NA,"SSW",78,"NE","NNE",15,17,77,69,1008.8,1003.9,NA,NA,24.5,26.7,"No",0,"No"
2020-01-05,"Wollongong",19.8,21.4,0,NA,NA,"SSW",57,"SSW","S",31,35,70,75,1018.9,1019.9,NA,7,20.7,20,"No",0,"No"
2020-01-06,"Wollongong",18.3,22.9,0,NA,NA,"NE",35,"ESE","NE",17,20,71,71,1021.2,1018.2,NA,NA,20.9,22.6,"No",0.8,"No"
2020-01-07,"Wollongong",19.9,25.6,0.8,NA,NA,"S",44,"NNW","E",30,7,76,72,1015.4,1012,NA,NA,22.9,24.9,"No",1.6,"Yes"
2020-01-08,"Wollongong",20.1,23.2,1.6,NA,NA,"S",41,"S","S",31,33,77,76,1016.2,1015.2,8,NA,21.3,22.2,"Yes",0,"No"
2020-01-09,"Wollongong",19.8,23.1,0,NA,NA,"S",39,"SSW","S",24,26,76,79,1018.4,1016.9,NA,NA,21.2,22.2,"No",0,"No"
2020-01-10,"Wollongong",20.5,25.4,0,NA,NA,"NE",56,"N","NE",19,39,79,76,1013,1006.1,NA,NA,23,25.1,"No",1,"No"
2020-01-11,"Wollongong",17.2,21.5,1,NA,NA,"SSW",81,"SSW","S",31,26,79,61,1013.6,1013.3,NA,NA,18.1,20.5,"No",0,"No"
2020-01-12,"Wollongong",17.7,19.8,0,NA,NA,"SSE",39,"SSW","SSW",19,22,72,68,1019,1019.6,NA,NA,19.3,19,"No",0,"No"
2020-01-13,"Wollongong",17.2,23.7,0,NA,NA,"NE",33,"SW","ESE",9,9,66,66,1020.8,1018.3,NA,NA,18.6,22.2,"No",0,"No"
2020-01-14,"Wollongong",17.6,25.2,0,NA,NA,"NE",26,"NE","NE",9,19,75,67,1018.1,1016.4,NA,NA,22.3,24.5,"No",0,"No"
2020-01-15,"Wollongong",17.8,25.4,0,NA,NA,"NE",39,"NNW","NNE",6,19,76,66,1014.7,1010.9,NA,NA,21.3,23.4,"No",8.4,"Yes"
2020-01-16,"Wollongong",19.9,27.3,8.4,NA,NA,"SW",52,"WNW","ENE",4,22,89,73,1007.8,1004.1,NA,2,21.1,24.1,"Yes",13,"Yes"
2020-01-17,"Wollongong",17,20.7,13,NA,NA,"SSW",50,"SW","SW",28,19,92,90,1010.3,1010.2,NA,7,17.1,19.1,"Yes",9.6,"Yes"
2020-01-18,"Wollongong",17,22.4,9.6,NA,NA,"SSW",57,"SSW","SSW",41,31,86,71,1010.6,1009.6,8,7,19.6,21.6,"Yes",2.8,"Yes"
2020-01-19,"Wollongong",18.3,22.8,2.8,NA,NA,"S",19,"SSW","SSW",6,15,87,87,1009,1006.8,8,8,20.1,20.9,"Yes",1,"No"
2020-01-20,"Wollongong",19,25.6,1,NA,NA,"N",50,"SE","NNW",6,19,86,83,1004.7,1001.2,3,8,22.1,23,"No",7.4,"Yes"
2020-01-21,"Wollongong",18,28,7.4,NA,NA,"W",41,"WSW","ENE",24,7,51,59,1007.1,1006.7,NA,1,23.2,26.4,"Yes",0,"No"
2020-01-22,"Wollongong",19.8,29.1,0,NA,NA,"NE",48,"ENE","NE",13,33,75,77,1011.1,1007.3,NA,NA,23.7,25.5,"No",0,"No"
2020-01-23,"Wollongong",21.9,39.6,0,NA,NA,"NNW",85,"NNW","NNW",44,37,38,17,1001.4,996.8,NA,4,29,37.8,"No",2.8,"Yes"
2020-01-24,"Wollongong",20.1,24.7,2.8,NA,NA,"SSW",39,"S","NE",20,15,85,74,1010.9,1009.7,8,8,20.4,24.1,"Yes",15.6,"Yes"
2020-01-25,"Wollongong",19.3,27,15.6,NA,NA,"NNE",24,NA,"N",0,11,82,75,1015.5,1012.8,8,8,22.9,26.2,"Yes",0,"No"
2020-01-26,"Wollongong",22.6,27.8,0,NA,NA,"SSW",61,"ENE","N",20,17,84,81,1011.6,1008.9,NA,2,25,26.5,"No",0,"No"
